URL,Size
https://restocks.net/nl/p/nike-dunk-low-essential-light-iron-one,"42,5"
https://restocks.net/nl/p/air-jordan-1-mid-wmns-stealth,"37,5"
https://restocks.net/nl/p/nike-dunk-low-retro-white-black-gs,"38,5"
https://restocks.net/nl/p/nike-dunk-high-black-white-2021,"42,5"
https://restocks.net/nl/p/yeezy-700-v3-fade-salt,42 2/3
https://restocks.net/nl/p/lebron-james-x-nike-dunk-low-fruity-pebbles,36
https://restocks.net/nl/p/air-jordan-4-retro-white-midnight-navy,45
https://restocks.net/nl/p/nike-dunk-low-retro-university-gold,43
